UFC,Discipline
3-501-01,Electrical
3-510-01,Electrical
3-520-01,Electrical
3-520-02,Electrical
3-520-05,Electrical
3-530-01,Electrical
3-535-01,Electrical
3-535-02,Electrical
3-540-01,Electrical
3-540-07,Electrical
3-540-08,Electrical
3-550-01,Electrical
3-550-04,Electrical
3-550-05,Electrical
3-550-06,Electrical
3-550-07,Electrical
3-555-01,Electrical
3-560-01,Electrical
3-570-01,Electrical
3-570-06,Electrical
3-575-01,Electrical
3-580-01,Electrical
